,title,subtitle,link
0,SILVA PINING,High-flying Fulham boss Silva emerges as Spurs' top target to replace Conte,https://www.thesun.co.uk/sport/21695631/marco-silva-tottenham-manager-antonio-conte-fulham/
1,FRAUD SQUAD,Grealish and Haaland troll Man City team-mate with 'biggest fraud' award,https://www.thesun.co.uk/sport/21692211/grealish-haaland-dias-fraud-oscar-award/
2,FUL TIME,Incredible reason why Arsenal were pictured with huge clock at Fulham revealed,https://www.thesun.co.uk/sport/21694954/arsenal-clock-picture-fulham-away-dressing-room/
3,DEC OF A MOVE,Major Rice update with Arsenal and Chelsea target's likely next club revealed,https://www.thesun.co.uk/sport/21695160/declan-rice-transfer-arsenal-chelsea-next-club/
4,MAJOR DEALS,Cheltenham Festival free bets and sign up deals: Best new customer offers,https://www.thesun.co.uk/sport/21633326/cheltenham-festival-2023-free-bets-deals-best-offers-racing/
5,CHELTENHAM DEAL,Get £60 in free bets when you bet £20 with Bet UK this week,https://www.thesun.co.uk/sport/21607557/bet-uk-cheltenham-festival-free-bets-bonus-sign-up/
6,TOP £40,Cheltenham Festival free bets: Get £40 welcome bonus with Tote sign-up special,https://www.thesun.co.uk/sport/21647140/tote-free-bets-sign-up-bonus-offer-cheltenham-festival/
7,RACING BONUS,Cheltenham Festival free bets: Get £20 bonus when you stake £5 with Ladbrokes,https://www.thesun.co.uk/sport/horseracing/19387431/ladbrokes-new-customer-free-bets-offer-horse-racing-bonus/
8,TAKE XHAK,Arsenal fans say Xhaka's mind-bending pass to Saka against Fulham 'can't be real',https://www.thesun.co.uk/sport/21692641/arsenal-fans-xhaka-mind-bending-pass-saka/
9,HAZ BEEN,Real Madrid star Hazard reveals he 'didn't like' playing for Belgium at World Cup,https://www.thesun.co.uk/sport/21694073/eden-hazard-didnt-like-playing-belgium-world-cup-2022/
10,WIL TO WIN,Zaha gets mega offer from Ronaldo's Saudi rivals as Palace prepare record deal,https://www.thesun.co.uk/sport/21696097/wilfried-zaha-transfer-news-saudi-arabia/
11,'WHAT A MOVE',Newcastle's 'fake time-wasting' goes viral and fans think it's masterstroke,https://www.thesun.co.uk/sport/21694831/newcastle-corner-routine-tactical-masterstroke/
12,FUL FORCE,Liverpool join Man Utd in race to sign £60m Fulham midfielder Palhinha,https://www.thesun.co.uk/sport/21695211/liverpool-utd-fulham-palhinha-60m-transfer/
13,GAV A WORD,Gavi suffers embarrassing wardrobe malfunction in Barcelona win vs Bilbao,https://www.thesun.co.uk/sport/21695898/gavi-wardrobe-malfunction-barcelona-bilbao/
14,HAG-ED OFF,Ten Hag lays into referee after Casemiro red card that bans for four games,https://www.thesun.co.uk/sport/21686374/man-utd-boss-ten-hag-referee-casemiro-southampton/
